title,avg_rating,num_ratings
"Shawshank Redemption, The (1994)",4.429022082018927,317
"Godfather, The (1972)",4.2890625,192
Fight Club (1999),4.272935779816514,218
Cool Hand Luke (1967),4.271929824561403,57
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),4.268041237113402,97
Rear Window (1954),4.261904761904762,84
"Godfather: Part II, The (1974)",4.25968992248062,129
"Departed, The (2006)",4.252336448598131,107
Goodfellas (1990),4.25,126
Casablanca (1942),4.24,100
"Dark Knight, The (2008)",4.238255033557047,149
"Usual Suspects, The (1995)",4.237745098039215,204
"Princess Bride, The (1987)",4.232394366197183,142
Star Wars: Episode IV - A New Hope (1977),4.231075697211155,251
Schindler's List (1993),4.225,220
Apocalypse Now (1979),4.219626168224299,107
American History X (1998),4.217054263565892,129
Star Wars: Episode V - The Empire Strikes Back (1980),4.2156398104265405,211
Chinatown (1974),4.211864406779661,59
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),4.2075,200
